PyTree Path (Depth 3)                                             | Kept   | Pruned | Common Kept Types
energy_nodes['network.line.engine.compressor'].diameters.effective | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].diameters.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].diameters.maximum  | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].diameters.projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].diameters.reference | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].diameters.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].diameters.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].diameters.total    | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].heights.effective  | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].heights.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].heights.maximum    | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].heights.projected  | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].heights.reference  | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].heights.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].heights.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].heights.total      | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].lengths.effective  | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].lengths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].lengths.maximum    | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].lengths.projected  | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].lengths.reference  | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].lengths.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].lengths.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].lengths.total      | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.Nc_des         | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.Nc_grid        | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].map.PR_des         | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.PR_table       | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].map.Rline_des      | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.Rline_grid     | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].map.Rline_stall    | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.Wc_des         | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.Wc_table       | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].map.alpha_des      | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.alpha_grid     | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].map.eff_des        | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.eff_table      | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].map.s_Nc           | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.s_PR           | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.s_Wc           | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].map.s_eff          | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].mass_properties.center_of_gravity | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].mass_properties.density | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].mass_properties.empty | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].mass_properties.moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].mass_properties.subcomponent_moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].mass_properties.subcomponent_total | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].mass_properties.total | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].mass_properties.volume | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].origin             | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].widths.effective   | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].widths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].widths.maximum     | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].widths.projected   | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].widths.reference   | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].widths.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].widths.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].widths.total       | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].working_fluid.composition | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].working_fluid.molecular_mass | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.core_nozzle'].add_mixer         | 1      | 0      | bool
energy_nodes['network.line.engine.core_nozzle'].areas.effective   | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.exit        | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.exposed     | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.inflow      | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.inlet       | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.maximum     | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.outflow     | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.projected   | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.reference   | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.total       | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].areas.wetted      | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.A_exit | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.A_intake | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.A_throat | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.eff | 6      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.exit_mach_number | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.intake_temperature | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.noise_speed | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.output_temperature | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.pressure_ratio | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.pressure_recovery | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].design_parameters.rotation_speed | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].diameters.effective | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].diameters.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].diameters.maximum | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].diameters.projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].diameters.reference | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].diameters.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].diameters.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].diameters.total   | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].heights.effective | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].heights.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].heights.maximum   | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].heights.projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].heights.reference | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].heights.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].heights.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].heights.total     | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].inputs[0]         | 1      | 0      | bool
energy_nodes['network.line.engine.core_nozzle'].lengths.effective | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].lengths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].lengths.maximum   | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].lengths.projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].lengths.reference | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].lengths.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].lengths.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].lengths.total     | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].mass_properties.center_of_gravity | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.core_nozzle'].mass_properties.density | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].mass_properties.empty | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].mass_properties.moments_of_inertia | 1      | 0      | ArrayImpl
